text,a1,a2,a3,a4,a5,a6,a7,a8
 oh! boy! how things have change..years ago i invested thousands of dollars in a killer dvd-audio/super-audio multichannel surround system.this was done to capture the glory of the state of the art music mastered in the wide frequency response of 24/192khz.example ..donald fagen morph the cat dvd-audio disc..this dics captures the dedicated genuine glory of dvd-audio multichannel done superbly.today we have the so call bonus dvd audio disc packaged together for one low rediculous price only to be disappointed with the amature quality of the 5.1 mix.if you are an audiophile like me and know the difference between the dedicated dvd-audio disc sold between $14.99-$29.99 and the so call bonus dvd disc...you will understand why iam so irritated at this new phenomenon.today most good recievers can play back stereo recorded music in all channel stereo/multichannel stereo surround which sounds superior to the so call dvd 5.1 disc.the stereo version of the beatles love album is worthy of my expensive system and is highly recommended ,positive,positive,positive,positive,positive,positive,positive,negative
 if you need an experience of pure meaningless noise this one's for you. however dont expect it to change your life much. the price listed above for the album is a very good example of the old cliche you get what you pay for. ,positive,negative,negative,positive,negative,positive,negative,negative
 this cd was beautifully sung by the cambridge singers a boys/mens choir mostly a' capela. it's the first christmas cd i've bought that really tempts me to crank up the volume so i can revel in every note ,positive,negative,positive,positive,positive,positive,positive,negative
 this era of tangerine dream (td) was just great. the virgin years were truly a great period for td. for me it deals with space and landscape. it's so close to repetitive music that would come much later. it's also the one group that used rythm to structure these flying melodies. you could fly with them and end up with more in the end. you can't say that for too many of these electronic groups. after that period they would go on with this ambient music that wasn't up to the same standards. it seems they are back (with other musicians of course) with the same kind of concept. great! they were an important link on the electronic scene. a great album! a great period ,positive,positive,positive,positive,positive,negative,positive,negative
 hey that just goes without being said. all of their live albums suck because they suck. go creed! i can't wait for scott stapp's solo album! awesome baby ,positive,negative,negative,negative,negative,negative,negative,negative
 i owned this as an lp and played it over and over on my tiny mono phonograph. i loved it then and i love it now. rainmaker i'm on my way back home and love is all that i ever needed would all have been sucessful singles. i would have loved you anyway is the only song i don't really like but the lyrics are unintentionally funny. all the lyrics seem more suggestive now than they did then but that's ok! the background singers get a tad tiring but go david cassidy! i don't care if it's the memories or not i enjoy putting this on and turning it up ,positive,negative,positive,positive,positive,positive,positive,negative
 i just want to slap who ever keeps coming out with these.hard.okaythere are some song that deserve this.to be ruined by off key 10-year-olds with annoying high squeaky voices.but come on!they killed 'my immortal'!that is a beautiful song!i'm listning to it as i write this!and alsolittle 6-year-olds cannot properly appreciate it!andlet's face it'my immortal' is not exactly a kiddie song.i meando you want your little 4-year-old boy listning to 'your face it haunts my once pleasant dreamsyour voice it chased away all the sanity in methese wounds won't seem to healthis pain is just too realthere's just too much that time cannot erase'? pleasestop buying this crap!not only do they ruin the great songs of our generationbut they also put on some really innapropriate songs.i meancome on!go look up the lyrics to 'toxic'!that is definatly not a good song for little children. of corsethe only reason any child would like this is because their older sibling listens to it.then someone should sit them down and explain why this is not for them. die kidz bop ,negative,negative,negative,positive,positive,negative,negative,negative
 while the sound of the stream is relaxing and well recorded there are way too many birds around. the cd describes their sound as distant and faint but that's far from accurate. the parts of the cd where all you hear is the stream alone don't add up to more than 10 minutes and never last more than a minute. for the most part you will hear the stream and plenty of birds rather close and sometimes very loud. buyer beware: the 30 second samples you get here are precisely from the parts with no birds at all! very misleading ,negative,negative,negative,positive,negative,negative,positive,negative
 even as dedicated of a radiohead fan as i am i really don't care much for this album. i say thank goodness for creep because we may have never heard from them again (or at least not in the same way) if that song had not become as popular as it did ,positive,negative,negative,positive,negative,negative,negative,negative
 i've always seen sheryl crow as a middle-of-the-road rock artist. my wife and i got a couple of her disc's plus that very best of cd and was really looking forward to her latest but this one...zzzzzzzz makes me wonder what they're putting in sheryl's coffee. some reviewers are saying there's heart and soul all over this album? that may be but it's also very slick dullsville stuff too. as for the album cover graphics i don't see the roger dean yes covers or the 60's style psychedelia like one reviewer wrote but a very modern graphic art that lots of artists and bands have been using. kelly clarkson the vines the donnas the list goes on. highlights: good is good (i guess it's time for a new very best of collection) ,negative,negative,negative,negative,positive,negative,positive,positive
 wow! tom morello flea pete yorn chris cornell brad wilk maynard james keenan. when i first heard of this superstar line-up i was sure that this cd was going to be awesome. i was duped like everyone else who bought this album. axis of justice (or so cleverly put by a previous reviewer as axis of jackasses) is really a bad album even for a bunch of political liberal rockers. serj and tom really dropped the ball with this one. what could've been a festoon of awesomeness turned out to crap-fest of whiny musicians with an equally crappy message. knowledge the night watchmen and ahmed ahmed are among the many reasons why this is so bad and incredibly difficult to listen to. the songjeffrey are you listenng? is up there with other crappy songs like john mayer's city love and richard harris' macarthur park. on top of all that the communist entertainer known as michael moore adds his little nugget of wisdom on the dvd which i can say i've become dumber now that i've listened to it. for the love of all good music stay far away from this cd ,positive,negative,negative,positive,negative,negative,negative,negative
 king elvis. queen madiona. prince justin. and now princess hillary! duff is slowly making her way up to the queen of pop. it was espicially nice to here my teen idol singing all christmas classics with some other pop stars too. if you love hillary duff and you really need some new cd's by her and it's crhistmas time then this is cd for you! let me tell ya somethin' that girl can sing. so go to the cd store. buy it! play it! plop down on the couch and have a glass of egg nog. ,positive,positive,positive,negative,positive,positive,positive,negative
 dan fogelberg is an extremely talented songwriter and performer. unfortunately the songs that get the most radio play are his weaker efforts songs that seem formulaic and &quot;safe.&quot; his best songs are the lesser known works -- listeners have to buy the albums in order to hear them. they'll never make it to the pop airwaves. serious fogelberg fans will be disappointed by this greatest hits cd. &quot;greatest hits&quot; is not synonymous with &quot;greatest music.&quot ,positive,negative,negative,negative,negative,negative,negative,negative
 i've had this cd since it came out and it continues to be my favorite. it's a cd that i can put in anytime and thoroughly enjoy. this would be my pick for the cd to have while stranded on an island. it never gets boring and made me appreciate just how good schon is. unbelievable. if you like this you'll like eric johnson's venus isle album too. two of my all time favorites ,positive,negative,positive,negative,negative,positive,negative,negative
 i didn't really feel like some of the songs were really love songs. a lot of these songs i had not even heard before. ,positive,negative,negative,negative,negative,positive,negative,negative
 on this albumice switches to a thrashcore style lovers of the style will go mad about.the songs are mega fastwith furious social lyrics and full of hatred.if you're into thashcoreand dig bands like ratos de poraoget this one at once.it suffers from some degree of dynamic compression thoughbut if you can correct thatit'll blow your brains againt the nearest wall ,positive,positive,positive,positive,positive,positive,positive,negative
